ac_no,ac_name,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,source,district,region_scope
38,Kumarganj,Toraf Hossain Mondal,TMC,89117,Manas Sarkar,BJP,59736,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Dakshin Dinajpur,North Bengal
39,Balurghat,Ashok Lahiri,BJP,70484,Sekhar Dasgupta,TMC,57585,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Dakshin Dinajpur,North Bengal
40,Tapan (ST),Budhrai Tudu,BJP,84381,Kalpana Kisku,TMC,82731,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Dakshin Dinajpur,North Bengal
41,Gangarampur (SC),Satyendra Nath Ray,BJP,88724,Goutam Das,TMC,84132,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Dakshin Dinajpur,North Bengal
42,Harirampur,Biplab Mitra,TMC,96131,Nilanjan Roy,BJP,73459,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Dakshin Dinajpur,North Bengal
43,Habibpur (ST),Joyel Murmu,BJP,94075,Prodip Baskey,TMC,74558,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Malda,North Bengal
44,Gazole (SC),Chinmoy Deb Barman,BJP,100655,Basanti Barman,TMC,98857,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Malda,North Bengal
45,Chanchal,Nihar Ranjan Ghosh,TMC,115966,Dipankar Ram,BJP,48628,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Malda,North Bengal
46,Harishchandrapur,Tajmul Hossain,TMC,122527,Matibur Rahaman,BJP,45054,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Malda,North Bengal
47,Malatipur,Abdur Rahim Boxi,TMC,126157,Mousumi Das,BJP,34208,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Malda,North Bengal
48,Ratua,Samar Mukherjee,TMC,130674,Abhishek Singhania,BJP,55024,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Malda,North Bengal
49,Manikchak,Sabitri Mitra,TMC,110234,Gour Chandra Mandal,BJP,76356,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Malda,North Bengal
50,Maldaha,Gopal Chandra Saha,BJP,93398,Ujjwal Kumar Chowdhury,TMC,77942,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Malda,North Bengal
51,English Bazar,Sreerupa Mitra Chaudhury,BJP,107755,Krishnendu Narayan Choudhury,TMC,87656,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Malda,North Bengal
52,Mothabari,Yeasmin Sabina,TMC,97397,Shyamchand Ghosh,BJP,40824,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Malda,North Bengal
53,Sujapur,Md. Abdul Ghani,TMC,152445,Isha Khan Choudhury,INC,22282,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Malda,North Bengal
54,Baisnabnagar,Chandana Sarkar,TMC,83061,Swadhin Kumar Sarkar,BJP,80590,https://en.wikipedia.org/wiki/Results_of_the_2021_West_Bengal_Legislative_Assembly_election,Malda,North Bengal
