ac_no,district,ac_name,candidate,candidate_votes_total,booth_count,needs_review,notes
42,Dakshin Dinajpur,Harihampur Assembly,"MAHATO, S N RAJAK",940,37,True,
16,Jalpaiguri,,SHANKAR ROY,897,74,True,
52,Malda,MOTHABARI,SAIDUR KALIMULLAH,822,32,True,
13,Alipurduar,Falakata(SC),KSHITISH BARMAN,811,24,True,
13,Alipurduar,Falakata(SC),SUBHASH KSHITISH,756,18,True,
48,Malda,,ASHOK KHATN,745,42,True,
9,Cooch Behar,,Prahallad Chandra,732,47,True,
17,Jalpaiguri,,RAKHI HARIDAS ROY,710,39,True,
52,Malda,MOTHABARI,RAM CHANDRA,683,114,True,
38,Dakshin Dinajpur,Kumarganj AC,RITBEL SARKAR,673,52,True,
32,Uttar Dinajpur,,CHANDRA HARUN,630,26,True,
42,Dakshin Dinajpur,Harihampur Assembly,JALALUDDIN N KUMAR,622,46,True,
37,Dakshin Dinajpur,Kushmandi (SC) AC,RAJIT KUMAR,621,3,True,
52,Malda,MOTHABARI,CHOWDHURY RAHAMAN,610,32,True,
53,Malda,SUJAPUR,SK ISLAM,601,87,True,
9,Cooch Behar,,Bhola Barman,600,22,True,
42,Dakshin Dinajpur,Harihampur Assembly,JALALUDDIN KUMAR,574,43,True,
52,Malda,MOTHABARI,SUBODH RAHAMAN,570,30,True,
24,Darjeeling,,Narbu Pranav,570,21,True,
52,Malda,MOTHABARI,RAM CHANDRA KHATUN,568,32,True,
2,Cooch Behar,Mathabhanga (SC),Sushil Roy,564,1,True,
22,Kalimpong,Kalimpong (in the case of election from a Parliamentary Constituency),DR R R BHIJEI,552,33,True,
52,Malda,MOTHABARI,SAIDUR CHOWDHURY,540,29,True,
49,Malda,MANIKCHAK,AMAL KUMAR CHANDRA MANDAL,523,17,True,
30,Uttar Dinajpur,Goalpokhar,MD.,511,12,True,
13,Alipurduar,Falakata(SC),KSHITISH ROY,500,24,True,
53,Malda,SUJAPUR,MD MONIRUL ALAHI,478,3,True,
13,Alipurduar,Falakata(SC),TAPAN DIPAK,471,4,True,
32,Uttar Dinajpur,,HAFIZUL SINHA S/O:,466,27,True,
17,Jalpaiguri,,ISWAR PAL,445,10,True,
22,Kalimpong,Kalimpong (in the case of election from a Parliamentary Constituency),PENJO GOMPI,418,33,True,
36,Uttar Dinajpur,ITAHAR,No. Of SRIKUMAR MUKHERJE UL ISLAM,416,31,True,
28,Uttar Dinajpur,Chopra,Surolit Kumar Kisku,405,43,True,
46,Malda,,ALAM,405,15,True,
16,Jalpaiguri,,UDAY CHANDRA,394,26,True,
52,Malda,MOTHABARI,SHYAMCHAN CHOWDHURY,390,46,True,
53,Malda,SUJAPUR,MD NUR HASAN,382,44,True,
2,Cooch Behar,Mathabhanga (SC),Animesh Roy,377,127,True,
11,Alipurduar,,AVIJIT KUMAR,360,25,True,
23,Darjeeling,,NIMA TSHERING,355,42,True,
22,Kalimpong,Kalimpong (in the case of election from a Parliamentary Constituency),PRADH,353,3,True,
22,Kalimpong,Kalimpong (in the case of election from a Parliamentary Constituency),RIDEN SADA,348,33,True,
3,Cooch Behar,,Votes,342,6,True,
2,Cooch Behar,Mathabhanga (SC),Haradhan Barman,338,40,True,
