ac_no,has_pdf,has_ocr_markdown,native_rows,native_booths,ocr_rows,ocr_booths,combined_rows,combined_booths,candidate_count,total_candidate_votes_sum,total_electors_ac_level,ac_name,status
172,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
173,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
174,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
175,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
176,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
177,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
178,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
179,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
180,True,False,1926,321,0,0,1926,321,42,122244,,BAGNAN,parsed
181,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
182,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
183,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
184,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
185,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
186,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
187,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
188,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
189,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
190,True,False,3132,348,0,0,3132,348,171,173651,,,parsed
191,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
192,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
193,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
194,True,False,1430,286,0,0,1430,286,75,155880,,,parsed
195,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
196,True,False,1500,300,0,0,1500,300,80,134356,,,parsed
197,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
198,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
199,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
200,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
201,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
202,True,False,1940,385,0,0,1940,385,55,5638591,277259.0,KHANAKUL,parsed
203,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
204,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
205,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
206,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
207,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
208,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
209,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
210,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
211,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
212,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
213,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
214,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
215,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
216,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
217,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
218,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
219,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
220,True,False,1968,328,0,0,1968,328,126,86692,226791.0,NAYAGRAM (ST),parsed
221,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
222,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
223,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
224,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
225,True,False,0,0,0,0,0,0,0,0,,,downloaded_not_parsed
