ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario
6,Sitai (SC),20000,63136.57643681017,77909.20095449343,0.09305,0.90695,-14772.624517683256,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
7,Dinhata,20000,55315.38211564359,59261.21788435632,0.3013,0.6987,-3945.835768712735,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
8,Natabari,20000,74086.23630784354,66189.64504350771,0.76105,0.23895,7896.591264335823,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
9,Tufanganj,20000,87829.60165340347,72160.59418771791,0.8889,0.1111,15669.007465685558,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
10,Kumargram (ST),20000,82083.54861160906,83465.59714060376,0.45815,0.54185,-1382.0485289946914,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
11,Kalchini (ST),20000,53421.80768719723,43649.03231280272,0.89345,0.10655,9772.775374394507,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
12,Alipurduars,20000,83917.46023823805,80711.70319926248,0.5994,0.4006,3205.7570389755606,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
13,Falakata,20000,110508.76041661536,119945.95958338554,0.3046,0.6954,-9437.199166770171,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
14,Madarihat,20000,52510.31183865613,39964.61160961923,0.95415,0.04585,12545.70022903691,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
15,Dhupguri (SC),20000,77177.81664382629,83588.43305914408,0.3132,0.6868,-6410.616415317798,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
16,Maynaguri (SC),20000,87413.84905775417,88432.3162388563,0.47155,0.52845,-1018.4671811021328,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
17,Jalpaiguri (SC),20000,54309.9493386505,61905.3125363498,0.205,0.795,-7595.3631976992965,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
18,Rajganj (SC),20000,44540.90974421812,59319.06025578173,0.03775,0.96225,-14778.150511563612,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
19,Dabgram-Phulbari,20000,65067.37346283578,57827.83653716385,0.76875,0.23125,7239.536925671923,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
20,Mal (ST),20000,107402.92771800657,81800.9522819934,0.974,0.026,25601.975436013152,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
21,Nagrakata (ST),20000,58118.274537799225,49314.54351414826,0.84595,0.15405,8803.731023650967,0.02,0.0,-0.03,0.015,0.04,tmc_consolidation
