ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario_id,scenario,predicted_winner,winner_probability,confidence_pct,margin_probability_gap,confidence_bucket
30,Goalpokhar,20000,23263.28183958592,37309.71816041436,0.00045,0.99955,-14046.436320828434,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,0.99955,99.96,0.9991000000000001,high_confidence
31,Chakulia,20000,18204.054341946623,27488.945658053355,0.00475,0.99525,-9284.891316106734,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,0.99525,99.52,0.9904999999999999,high_confidence
32,Karandighi,20000,53183.80398618682,78278.19601381356,0.0,1.0,-25094.392027626756,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,1.0,100.0,1.0,high_confidence
33,Hemtabad (SC),20000,62019.28704284449,74678.08332752512,0.1238,0.8762,-12658.79628468063,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,0.8762,87.62,0.7524,likely
34,Kaliaganj (SC),20000,123918.57979478782,91673.42020521178,0.97315,0.02685,32245.15958957603,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.97315,97.32,0.9462999999999999,high_confidence
35,Raiganj,20000,23046.830779894328,15691.392434391477,0.9916,0.0084,7355.438345502854,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.9916,99.16,0.9832000000000001,high_confidence
36,Itahar,20000,25757.50761230217,38341.49238769763,0.0085,0.9915,-12583.984775395456,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,0.9915,99.15,0.9830000000000001,high_confidence
37,Kushmandi (SC),20000,44258.595010411824,47549.50978000767,0.3268,0.6732,-3290.914769595849,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,0.6732,67.32,0.34640000000000004,lean
38,Kumarganj,20000,27637.91506410425,37874.08493589588,0.0263,0.9737,-10236.169871791624,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,TMC,0.9737,97.37,0.9474,high_confidence
39,Balurghat,20000,51220.52748905503,38436.892264031456,0.9631,0.0369,12783.635225023574,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate +2pp,BJP,0.9631,96.31,0.9261999999999999,high_confidence
