ac_no,ac_name,iterations,mean_bjp_votes,mean_tmc_votes,bjp_win_probability,tmc_win_probability,expected_margin,turnout_change,sir_deletion_factor,tmc_to_bjp_swing,noise_sd,ac_noise_sd,scenario_id,scenario,predicted_winner,winner_probability,confidence_pct,competitiveness
44,Gazole (SC),20000,104770.6565078174,60622.34349218308,1.0,0.0,44148.31301563431,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,1.0,100.0,very_strong
45,Chanchal,20000,43616.95109317084,94671.74573940874,0.0,1.0,-51054.794646237904,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,1.0,100.0,very_strong
46,Harishchandrapur,20000,16135.82002989164,39797.20675582263,0.0,1.0,-23661.386725930995,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,1.0,100.0,very_strong
47,Malatipur,20000,21822.5394264882,102329.46057351204,0.0,1.0,-80506.92114702384,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,1.0,100.0,very_strong
48,Ratua,20000,147098.163053334,73543.83694666508,1.0,0.0,73554.32610666893,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,1.0,100.0,very_strong
49,Manikchak,20000,198381.5318332327,22032.468166766623,1.0,0.0,176349.0636664661,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,1.0,100.0,very_strong
50,Maldaha,20000,35724.84477596304,27392.799960879107,0.9516,0.0484,8332.044815083933,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.9516,95.16,very_strong
51,English Bazar,20000,169699.4456341374,127071.80581094888,0.9595,0.0405,42627.63982318855,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),BJP,0.9595,95.95,very_strong
52,Mothabari,20000,42428.51359601262,92109.48640398738,0.0,1.0,-49680.97280797476,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,1.0,100.0,very_strong
53,Sujapur,20000,30548.769443137186,154633.23055686208,0.0,1.0,-124084.4611137249,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,1.0,100.0,very_strong
54,Baisnabnagar,20000,57199.79228200403,108539.20771799568,0.0,1.0,-51339.41543599164,0.0,0.0,0.02,0.015,0.04,bjp_moderate,BJP moderate (+2pp),TMC,1.0,100.0,very_strong
1,Mekliganj (SC),20000,39631.9729173651,39592.52708263489,0.5069,0.4931,39.44583473020196,0.0,0.0,0.04,0.015,0.04,bjp_surge,BJP surge (+4pp),BJP,0.5069,50.69,toss_up
